market,source_id,gate,horizon,dates,mean_excess,null_pctile,null_p05,null_p95,beats_null_95,loses_null_05,block_null_pctile,block_null_p05,block_null_p95,block_source_ci_lo,block_source_ci_hi,block_ci_crosses_zero,beats_null_95_block,loses_null_05_block
crypto,crypto.tv_rsi45,rsi45_only,5,72,0.007825745803435572,0.98,-0.006199200943899818,0.006094146735074645,True,False,0.9305,-0.00874524413477967,0.008723736129067005,-0.00666408405176175,0.02385581985319382,True,False,False
crypto,crypto.tv_rsi45,rsi45_only,20,57,-0.01361162443522278,0.028,-0.011435786522242421,0.01116280112420183,False,True,0.0625,-0.014531436814989685,0.014714265059486396,-0.02891935836733758,0.005511123334457419,True,False,False
kr,kr.cheap_value,A_strong,5,1,-0.0229082350418648,0.174,-0.04425422561312018,0.042836597153117106,False,False,0.174,-0.04425422561312018,0.042836597153117106,,,,False,False
kr,kr.cheap_value,A_strong,20,1,-0.0769897386430875,0.043,-0.07289108621509623,0.08283499183450374,False,True,0.043,-0.07289108621509623,0.08283499183450374,,,,False,False
kr,kr.cheap_value,B_moderate2,5,46,0.026788647695908177,0.995,-0.008760846912429369,0.009309122764955406,True,False,0.992,-0.011545199288436893,0.012493639765939346,0.0007597178097957601,0.05109100960519297,False,True,False
kr,kr.cheap_value,B_moderate2,20,32,0.13266077831281908,1.0,-0.01620667450500338,0.019227286481879005,True,False,1.0,-0.019717679377466005,0.022119547008328716,0.0832231382234732,0.17902567003013306,False,True,False
kr,kr.cheap_value,none,5,47,0.019035823348097225,0.984,-0.008714731133253733,0.009131032945594019,True,False,0.9855,-0.011633301494452323,0.011924147935113002,-0.0041855993444388,0.04344163642188339,True,True,False
kr,kr.cheap_value,none,20,32,0.09844650442075248,1.0,-0.01620667450500338,0.019227286481879005,True,False,1.0,-0.020650875264986643,0.02084404602307759,0.05911164611875826,0.13874682578863184,False,True,False
kr,kr.consecutive_gainers,A_strong,5,3,-0.002326776263121017,0.503,-0.03007926420499568,0.036921337232173515,False,False,0.503,-0.03007926420499569,0.036921337232173515,,,,False,False
kr,kr.consecutive_gainers,A_strong,20,3,0.10144667433629617,0.9855,-0.05135425743558622,0.05838717524153955,True,False,0.9855,-0.051354257435586206,0.05838717524153955,,,,True,False
kr,kr.consecutive_gainers,B_moderate2,5,5,0.007744823859261801,0.7675,-0.025614247602683902,0.028790615950432318,False,False,0.7675,-0.025614247602683902,0.02879061595043233,,,,False,False
kr,kr.consecutive_gainers,B_moderate2,20,5,0.10042621703967361,0.9895,-0.03944887787571911,0.04399773219105469,True,False,0.9895,-0.03944887787571911,0.04399773219105469,,,,True,False
kr,kr.consecutive_gainers,none,5,47,-0.0026821149030188366,0.337,-0.008714731133253733,0.009131032945594019,False,False,0.3835,-0.01146550476684473,0.012104880757651282,-0.032685321232486915,0.026852611929238653,True,False,False
kr,kr.consecutive_gainers,none,20,32,-0.008902794570750303,0.2065,-0.01620667450500338,0.019227286481879005,False,False,0.252,-0.019569053203184125,0.022362371088747356,-0.05529992101349289,0.03337947307270141,True,False,False
kr,kr.double_buy,A_strong,5,6,-0.08692781087125079,0.0,-0.020890317699809802,0.02252126408923073,False,True,0.0,-0.024274871463390302,0.02591583820643936,-0.13820898526027195,-0.035775297273600425,False,False,True
kr,kr.double_buy,A_strong,20,5,-0.037044876357477656,0.0535,-0.03739283310030034,0.04035487333856568,False,False,0.0535,-0.03739283310030034,0.040354873338565675,,,,False,False
kr,kr.double_buy,B_moderate2,5,30,0.011274911481417857,0.9545,-0.010292244984973444,0.010609561569461658,True,False,0.9195,-0.013629731869007247,0.014012656879637733,-0.029525379352212992,0.05750463524647892,True,False,False
kr,kr.double_buy,B_moderate2,20,23,0.06997346439507425,1.0,-0.018492542857440623,0.02019376964899545,True,False,0.999,-0.020567790690734885,0.02212421395866479,0.02985704800167503,0.11250573857755616,False,True,False
kr,kr.double_buy,none,5,47,-0.048950392856974265,0.0,-0.008714731133253733,0.009131032945594019,False,True,0.0,-0.01163580475903585,0.011720565021387885,-0.07389444075457166,-0.0244498924011077,False,False,True
kr,kr.double_buy,none,20,32,-0.07388103521821597,0.0,-0.01620667450500338,0.019227286481879005,False,True,0.0,-0.020306995865943332,0.021978974082145886,-0.11238817838901269,-0.03585870146951915,False,False,True
kr,kr.future_dividend_king,A_strong,5,6,0.03178774227220335,0.98,-0.020777576881098457,0.022823688412758527,True,False,0.969,-0.023674029097099203,0.02638892094138134,0.014282733874830514,0.054556137880279944,False,True,False
kr,kr.future_dividend_king,A_strong,20,6,0.15213289922601983,1.0,-0.03730279635033142,0.03698910642971906,True,False,1.0,-0.03730279635033143,0.03698910642971906,,,,True,False
kr,kr.future_dividend_king,B_moderate2,5,45,0.003990824611509152,0.8095,-0.0086011556830751,0.00922758957783727,False,False,0.7405,-0.012062437386316394,0.01166964367429649,-0.027381141723660733,0.029951459487454625,True,False,False
kr,kr.future_dividend_king,B_moderate2,20,31,0.0676623317441728,1.0,-0.01662388085299354,0.019299087346428684,True,False,0.998,-0.020724368413626935,0.02236921385032291,0.024265141194442952,0.11218537051404553,False,True,False
kr,kr.future_dividend_king,none,5,47,0.004822278375242129,0.851,-0.008714731133253733,0.009131032945594019,False,False,0.798,-0.01148429642409781,0.011026300980558297,-0.018305904526269467,0.025993369046485366,True,False,False
kr,kr.future_dividend_king,none,20,32,0.05690554531089902,0.9995,-0.01620667450500338,0.019227286481879005,True,False,0.9965,-0.0189409511255529,0.021363351476446135,0.01220037109527942,0.10283713313549658,False,True,False
kr,kr.growth_expectation_toss,A_strong,5,6,0.03562643417371512,0.9775,-0.023475016285900225,0.022406791683964613,True,False,0.975,-0.02531286034034101,0.0251820397397627,0.01682702850287276,0.054425839844557476,False,True,False
kr,kr.growth_expectation_toss,A_strong,20,6,0.1348031281066653,0.99,-0.03745690216393158,0.04723559187023026,True,False,0.99,-0.03745690216393158,0.04723559187023026,,,,True,False
kr,kr.growth_expectation_toss,B_moderate2,5,45,0.020461662803912147,0.9855,-0.008880572143786394,0.009644759588099466,True,False,0.9835,-0.011900727253633257,0.012092679798815835,0.0003308676243032731,0.03838449011485123,False,True,False
kr,kr.growth_expectation_toss,B_moderate2,20,32,0.08705407276284106,1.0,-0.01620667450500338,0.019227286481879005,True,False,1.0,-0.01985918800321878,0.022343344797632562,0.05419431816415476,0.11893295023646,False,True,False
kr,kr.growth_expectation_toss,none,5,47,0.014173591442436214,0.9785,-0.008714731133253733,0.009131032945594019,True,False,0.9685,-0.011731811214211157,0.011861262662073917,-0.0036687104632382533,0.03223622559871751,True,True,False
kr,kr.growth_expectation_toss,none,20,32,0.0753367978866262,1.0,-0.01620667450500338,0.019227286481879005,True,False,0.9995,-0.019636850848908795,0.023056570896997475,0.04022066583134752,0.1108044191258041,False,True,False
kr,kr.high_volume_surge,A_strong,5,7,-0.0006853732183108348,0.482,-0.021023884772821886,0.02074098324882818,False,False,0.487,-0.024978623261868907,0.02424051159019823,-0.04870529110991108,0.04733454467328941,True,False,False
kr,kr.high_volume_surge,A_strong,20,3,-0.05506956467240829,0.0215,-0.044567996941482974,0.0487930403578372,False,True,0.0215,-0.044567996941482974,0.0487930403578372,,,,False,False
kr,kr.high_volume_surge,B_moderate2,5,42,0.0007000833909425507,0.578,-0.008743993201622394,0.008867430652964397,False,False,0.5585,-0.012110811728444727,0.012238173219859736,-0.013802248765156382,0.015143775730365292,True,False,False
kr,kr.high_volume_surge,B_moderate2,20,30,-0.01592415025448923,0.0615,-0.016856779594356545,0.018623938230054992,False,False,0.095,-0.019369353355918578,0.02209087275667157,-0.0518048473359803,0.0201183593564619,True,False,False
kr,kr.high_volume_surge,none,5,47,-0.014998401690231106,0.0005,-0.008714731133253733,0.009131032945594019,False,True,0.019,-0.011723188450394974,0.012232750294643536,-0.04128752756172346,0.01110976503269102,True,False,False
kr,kr.high_volume_surge,none,20,32,-0.03523189283983595,0.0,-0.01620667450500338,0.019227286481879005,False,True,0.0005,-0.020443368775678306,0.021451159373934207,-0.11397656357594693,0.04190522348199356,True,False,False
