market,source_id,gate,horizon,window,dates,mean_ret,median_ret,mean_excess,median_excess,dates_beating_market,excess_t_descriptive
kr,kr.growth_expectation_toss,B_moderate2,5,recent,9,0.03890276596505664,0.051625535865244564,-0.0182541693898589,-0.02981044749309023,0.3333333333333333,-1.4354019587815965
kr,kr.growth_expectation_toss,B_moderate2,20,earlier,32,0.0011566442790425123,-0.009481804930018593,0.08705407276284106,0.07788382326943283,1.0,9.773738009561804
kr,kr.growth_expectation_toss,none,5,earlier,36,0.00032312424352221383,-0.0020991284206425104,0.023321148510027697,0.02564607511211054,0.75,3.8577848633506044
kr,kr.growth_expectation_toss,none,5,recent,11,0.026841388701833734,0.026525948981321677,-0.015763868051499545,-0.029188708493601424,0.45454545454545453,-1.834595910651223
kr,kr.growth_expectation_toss,none,20,earlier,32,-0.01056063059717236,-0.016253261745506103,0.0753367978866262,0.08236077904488079,0.90625,8.137964687908502
kr,kr.high_volume_surge,A_strong,5,earlier,7,-0.008887389445346316,-0.01822793883756585,-0.0006853732183108149,0.02353968340396523,0.5714285714285714,-0.02254219705168545
kr,kr.high_volume_surge,A_strong,20,earlier,3,-0.02277422787550577,-0.0242182462927144,-0.05506956467240833,-0.06540258326185569,0.0,-2.936703901253372
kr,kr.high_volume_surge,B_moderate2,5,earlier,34,-0.017272012069586153,-0.014520025167785193,0.0014964593572042023,-0.000544825087510742,0.5,0.18056944698509478
kr,kr.high_volume_surge,B_moderate2,5,recent,8,0.040151066156201676,0.01826689816504375,-0.002684514465669474,-0.014343738533809804,0.5,-0.1495888257829221
kr,kr.high_volume_surge,B_moderate2,20,earlier,30,-0.09587546237708472,-0.1296833899272285,-0.01592415025448923,-0.03869864376574849,0.26666666666666666,-0.7705509727889657
kr,kr.high_volume_surge,none,5,earlier,36,-0.02815702245929633,-0.038247971113340495,-0.005158998192790851,-0.007615417945719932,0.4444444444444444,-0.473872088154594
kr,kr.high_volume_surge,none,5,recent,11,-0.004594829110338688,0.008206742190965318,-0.04720008586367197,-0.054618531704531126,0.09090909090909091,-3.452060807467569
kr,kr.high_volume_surge,none,20,earlier,32,-0.12112932132363452,-0.1388544494387948,-0.03523189283983596,-0.0487210269040059,0.25,-1.4318178894917515
kr,kr.high_yield_value,A_strong,5,earlier,11,0.04922710007451176,0.0387485742371294,0.02690818394912541,0.005701313133723046,0.6363636363636364,1.387631718370755
kr,kr.high_yield_value,A_strong,5,recent,4,-0.03381688451828727,-0.03957915831663325,-0.08779089215656437,-0.07470841923502015,0.0,-2.7792305535076323
kr,kr.high_yield_value,A_strong,20,earlier,10,-0.019076992391857638,-0.017381230103764175,0.08230940596533325,0.07879586663291877,1.0,6.056135205371497
kr,kr.high_yield_value,B_moderate2,5,earlier,36,0.06030000622679014,0.007197228058804735,0.08329803049329565,0.0315844649553861,0.9166666666666666,3.4982389417715276
kr,kr.high_yield_value,B_moderate2,5,recent,9,0.006742344786986407,0.0035917472528950497,-0.04060551357512705,-0.0289921956960532,0.2222222222222222,-2.564921492938907
kr,kr.high_yield_value,B_moderate2,20,earlier,32,0.0780959070387085,0.04495918897686178,0.16399333552250706,0.10430512325218234,0.9375,5.417451899221609
kr,kr.high_yield_value,none,5,earlier,36,0.000778327631177018,0.002811684749026675,0.0237763518976825,0.020609698829418134,0.75,4.034482345246191
kr,kr.high_yield_value,none,5,recent,11,0.05841093345101509,0.07095666612277629,0.01580567669768181,0.0071078203497860395,0.7272727272727273,1.266223335032489
kr,kr.high_yield_value,none,20,earlier,32,0.01997641746702939,0.035654599840579046,0.10587384595082795,0.11276081587528686,1.0,11.89717809907318
kr,kr.investor_flow_momentum,A_strong,5,earlier,1,-0.0247644093797939,-0.0247644093797939,0.0228467920295777,0.0228467920295777,1.0,
kr,kr.investor_flow_momentum,A_strong,5,recent,1,-0.028969957081545,-0.028969957081545,-0.0846846145564681,-0.0846846145564681,0.0,
kr,kr.investor_flow_momentum,B_moderate2,5,earlier,3,0.05154775530815687,0.08790115119640761,-0.011225250061765035,0.008016263507915436,0.6666666666666666,-0.45173683245506224
kr,kr.investor_flow_momentum,B_moderate2,5,recent,10,0.013468756790881563,0.005737022271679151,-0.038952806189516076,-0.04749996502957783,0.3,-3.654151025295796
kr,kr.investor_flow_momentum,none,5,earlier,19,-0.04991015726601779,0.0,-0.05960854942967855,0.0177081119664779,0.5294117647058824,-1.1263071727654352
kr,kr.investor_flow_momentum,none,5,recent,10,0.03346358004586875,0.018094429210860803,-0.018957982934528887,-0.020567126527340898,0.3,-1.5097930282177445
kr,kr.investor_flow_momentum,none,20,earlier,16,-0.10235949509060431,0.0,0.014374938531636001,0.10640887810528885,0.7142857142857143,0.23314621605310523
kr,kr.oversold_recovery,A_strong,5,earlier,22,-0.00843669169647304,-0.00429701877070295,0.012170082328959305,0.0208642342223231,0.6818181818181818,0.877362613489425
kr,kr.oversold_recovery,A_strong,5,recent,4,-0.008953975931685376,-0.009153029533677725,-0.07701435366635793,-0.07584076600171018,0.0,-5.710355114121886
kr,kr.oversold_recovery,A_strong,20,earlier,18,-0.01764076197290934,-0.005046708786687925,0.04745947013369725,0.08634174847186035,0.6111111111111112,1.8516152948504876
kr,kr.oversold_recovery,B_moderate2,5,earlier,36,0.033224565025295236,0.006088818883719543,0.05622258929180071,0.029054563157215794,0.6944444444444444,2.475746885391585
