market,source_id,gate,horizon,window,dates,picks,scored,missing,truncated,censored,delisted_or_gap,n_unc,mean_ret_unc,median_ret_unc,win_rate_unc,mean_excess_unc,excess_t_unc,excess_win_rate_unc,mean_ret,median_ret,win_rate,p10,p90,t_stat,mean_excess,median_excess,excess_win_rate,excess_t,mean_ret_strict,mean_mfe,mean_mae,mean_hl_mfe,mean_hl_mae,mean_pool,mean_gated
kr,kr.steady_dividend,none,5,all,50,500,500,0,30,30,0,470,-0.0032267076718750683,-0.00257152678618635,0.4808510638297872,0.004417357207008576,1.4314513484800613,0.597872340425532,-0.004557618554948112,-0.0039927954349835496,0.456,-0.06210473749670223,0.06465011304780074,-1.8751967687772753,0.004890749319899288,0.016009104293319802,0.61,1.665249609781623,-0.0032267076718750683,0.02052612221487,-0.02500661561446292,0.037905503404118676,-0.042441462010201825,52.12,52.12
kr,kr.steady_dividend,none,20,all,50,500,500,0,180,180,0,320,-0.020644565458638124,-0.0128510758963605,0.415625,0.06525286302516044,12.879243953861625,0.759375,-0.020502531177158823,-0.009484203212490251,0.42,-0.14906645703573806,0.07264114887007714,-5.66033338763926,0.027527930014070917,0.0258910756925411,0.646,5.88070916623571,-0.020644565458638124,0.042333431048016484,-0.061910127066957706,0.06191708920366,-0.07904676020293593,52.12,52.12
kr,kr.top_gainers,A_strong,5,all,4,5,5,0,1,1,0,4,0.028291675244462598,0.0239241450981256,0.75,-0.0016867761975913748,-0.05509696379563529,0.75,0.026176197338427222,0.0216474168338058,0.8,-0.00501356182597134,0.061770671925623306,1.542840509469333,0.00960843513588588,0.0167423339630713,0.8,0.36580353029581303,0.028291675244462598,0.03012311219537312,-0.024339026507513017,0.0554504288266092,-0.03821649283891586,100.0,1.4
kr,kr.top_gainers,A_strong,20,all,4,5,5,0,2,2,0,3,0.057719561581842806,0.0676855895196506,0.6666666666666666,0.15011531857019697,4.648816620058611,1.0,0.031556186646254446,0.0177142857142857,0.6,-0.02798856489193526,0.1025581067756021,1.0744352994877084,0.07517915956279456,0.08617840878609541,0.8,1.3156437986237017,0.057719561581842806,0.08890315017132155,-0.027653274864532194,0.11455153747797783,-0.04096910366954039,100.0,1.4
kr,kr.top_gainers,B_moderate2,5,all,20,55,55,0,1,1,0,54,-0.0002588896228706674,3.368479530525001e-05,0.5,-0.017434200322049533,-1.2434599831589568,0.35185185185185186,6.789538325944837e-05,0.0014738393515105,0.509090909090909,-0.11695427092320962,0.11975800136224395,0.004152447065730367,-0.01612104612583418,-0.0313858106225785,0.36363636363636365,-1.166000384870082,-0.0002588896228706674,0.052891225218085924,-0.040191574268995396,0.09824727993584595,-0.06780077848110518,100.0,4.672727272727273
kr,kr.top_gainers,B_moderate2,20,all,20,55,55,0,14,14,0,41,-0.04005560970060861,-0.0203333563870253,0.4634146341463415,0.0090635848027783,0.38082622952044165,0.4634146341463415,-0.02549138769547669,-0.0314181398923905,0.45454545454545453,-0.18554670067033302,0.13327848052597166,-1.513419815513684,-0.01031043692886161,-0.042691307103229596,0.41818181818181815,-0.5219148123970682,-0.04005560970060861,0.09339259277388097,-0.11269028336009365,0.13757463947599116,-0.13762661919459476,100.0,4.672727272727273
kr,kr.top_gainers,none,5,all,51,510,510,0,41,40,1,470,-0.05772618371815411,-0.11407759861368105,0.3276595744680851,-0.05008211883927046,-3.5299903710734486,0.33404255319148934,-0.057558559493783405,-0.10972581340228396,0.3254901960784314,-0.3310013597826692,0.21686492144495798,-4.33009908832943,-0.04773905598444187,-0.10016008630339719,0.3411764705882353,-3.6196325131690146,-0.05778743357682821,0.09486189863492883,-0.15097225897710298,0.257850307386316,-0.19377762310902757,100.0,100.0
kr,kr.top_gainers,none,20,all,51,510,510,0,191,190,1,320,-0.14942978691793854,-0.23792693379044344,0.190625,-0.06353235843414,-1.914654606300869,0.265625,-0.11226905620455761,-0.17199162693047484,0.25098039215686274,-0.46381987577639744,0.20368328362260457,-5.126365612066884,-0.06462397101248826,-0.13133872866950955,0.29411764705882354,-2.952951309537672,-0.14980730976094148,0.20204603019810646,-0.25708295017815247,0.37936953112599914,-0.29098775882598055,100.0,100.0
kr,kr.top_losers,A_strong,5,all,8,18,18,0,2,2,0,16,-0.019866675869382244,-0.006850748585909601,0.3125,-0.0018665044072996451,-0.11278388571944188,0.5625,-0.016272572451543163,-0.0059879727674804,0.3888888888888889,-0.09663271366485615,0.012348388031711666,-1.1218638881426388,0.002880500540757938,0.032921332526198305,0.6111111111111112,0.19175217538291084,-0.019866675869382244,0.01183738258300173,-0.02325112933525452,0.02708966035480053,-0.03485858289176402,100.0,3.4444444444444446
kr,kr.top_losers,A_strong,20,all,8,18,18,0,7,7,0,11,-0.0523630042074436,-0.0032362459546925,0.45454545454545453,-0.030416461922929548,-0.9478089010141051,0.5454545454545454,-0.033223712595772836,0.0008821355404199,0.5,-0.1735033049120707,0.016935307205710293,-1.4654497518223983,-0.03663873468143935,-0.014409376063753102,0.4444444444444444,-1.728604634242376,-0.0523630042074436,0.01661743504122276,-0.06894659728355071,0.030815635485965158,-0.08146787616612305,100.0,3.4444444444444446
kr,kr.top_losers,B_moderate2,5,all,48,341,341,0,16,16,0,325,0.000670511966939925,-0.0046893317702227,0.4676923076923077,0.010224096613506225,1.9709310296346865,0.5446153846153846,-0.00019177109926838667,-0.0046893317702227,0.46920821114369504,-0.1306122448979592,0.1262376237623761,-0.029388345321810137,0.01025126707235774,0.006092814695255397,0.5483870967741935,2.049920722514313,0.000670511966939925,0.05611953710139943,-0.05739777033582723,0.10197112121790491,-0.08827543372103662,100.0,10.80058651026393
kr,kr.top_losers,B_moderate2,20,all,48,341,341,0,81,81,0,260,-0.07713213082520988,-0.09170236395367284,0.27692307692307694,0.002860897222586465,0.15331325433927276,0.43846153846153846,-0.04564949700009708,-0.0492610837438424,0.3343108504398827,-0.2744265080713679,0.1410411622276028,-2.9354145841314323,0.006319869645896771,-0.018364848265277803,0.4574780058651026,0.43473196961492044,-0.07713213082520988,0.11469172724155591,-0.1651662674123832,0.16138630798392273,-0.19422789379729574,100.0,10.80058651026393
kr,kr.top_losers,none,5,all,51,510,510,0,40,40,0,470,0.0008293674827798268,-0.044978424059416,0.38085106382978723,0.008473432361663473,0.3485275573312927,0.4276595744680851,0.00023056385184594278,-0.044978424059416,0.37450980392156863,-0.24624221844934913,0.2648530832973495,0.010213688819018544,0.010050067361187482,-0.030309496915834705,0.43333333333333335,0.4465934392214159,0.0008293674827798268,0.11358721396490501,-0.1065032530040077,0.20981250409767113,-0.1566122009590386,100.0,100.0
kr,kr.top_losers,none,20,all,51,510,510,0,194,190,4,320,-0.07104244463434271,-0.16126857730849725,0.271875,0.014854983849455838,0.3117903354319266,0.40625,-0.03726343847280736,-0.10177493317356434,0.3215686274509804,-0.4334751938020559,0.28689781530294,-1.2202997515433285,0.010381646719261981,-0.04557928774703915,0.40784313725490196,0.3400269186378219,-0.06936030496382976,0.23216774967547626,-0.2247006382118658,0.3425246793753632,-0.26469233575140055,100.0,100.0
kr,kr.trade_amount,A_strong,5,all,19,31,31,0,4,4,0,27,0.011068233145731939,0.0005436848944344,0.5185185185185185,0.02278820888442081,1.7449537127145012,0.7037037037037037,0.008128118823737424,-0.0023784568249617,0.4838709677419355,-0.0279730363000613,0.0862409479921,0.9336423036983255,0.022277899320584393,0.0228846280056257,0.7419354838709677,1.9601847905328533,0.011068233145731939,0.019565862847853343,-0.026128172268535813,0.02898043871359177,-0.03549140398473465,100.0,2.161290322580645
kr,kr.trade_amount,A_strong,20,all,19,31,31,0,15,15,0,16,0.003690528855091681,0.0022471050021105003,0.5625,0.08613426234210497,3.017751755098774,0.625,-0.0081115332399096,-0.0175235390823493,0.3225806451612903,-0.0338222814886652,0.0294695481335953,-0.6960641132079713,0.01780832311426706,-0.018529332319125,0.45161290322580644,0.85136885924282,0.003690528855091681,0.04626870939888404,-0.041657535191648734,0.060016998126118354,-0.05140008384888492,100.0,2.161290322580645
kr,kr.trade_amount,B_moderate2,5,all,44,268,268,0,14,14,0,254,-0.0021887730808387257,-0.00973729543496985,0.452755905511811,0.0030093990732572005,0.6896714780659869,0.515748031496063,-0.0024171158155372368,-0.01099558336400435,0.44029850746268656,-0.1212146039882689,0.1152215784487677,-0.43242363465259487,0.004053665222171865,0.003643424276710751,0.5410447761194029,0.9755385324439415,-0.0021887730808387257,0.051415724654501685,-0.04945304480968472,0.07850486493611146,-0.07630679217980521,100.0,10.604477611940299
kr,kr.trade_amount,B_moderate2,20,all,44,268,268,0,69,69,0,199,-0.07918141859550355,-0.08125,0.3015075376884422,-0.02039221543148812,-1.8890345266956494,0.36683417085427134,-0.046389366341634874,-0.02453323638912175,0.34328358208955223,-0.24323039721684075,0.12552758890418494,-5.080255369831454,-0.017752069984854988,-0.03211330565429445,0.40671641791044777,-2.1034268435162535,-0.07918141859550355,0.07898254890584733,-0.15110086181275914,0.10854317503152947,-0.17768835955650839,100.0,10.604477611940299
kr,kr.trade_amount,none,5,all,51,510,510,0,40,40,0,470,-0.0291155676605183,-0.03331558236719295,0.3851063829787234,-0.02147150278163466,-2.5698069484531034,0.4276595744680851,-0.027275732847469945,-0.03016439068799575,0.38823529411764707,-0.24568601333307213,0.18853833532634387,-3.298029069156906,-0.0174562293381284,-0.016975377393536446,0.45294117647058824,-2.2463314250393993,-0.0291155676605183,0.07703609090849863,-0.10884588392798616,0.12422378984351029,-0.1454317399234457,100.0,100.0
kr,kr.trade_amount,none,20,all,51,510,510,0,190,190,0,320,-0.25407963668904215,-0.25195820713035255,0.10625,-0.1681822082052436,-11.455244851209024,0.165625,-0.1511028724812091,-0.13528064463708916,0.2803921568627451,-0.5210634572337004,0.1519894570006213,-12.18402541467021,-0.10345778728913976,-0.0854576904514944,0.3411764705882353,-9.221411223867028,-0.25407963668904215,0.1344674393980834,-0.2549869198151981,0.18965673570328775,-0.28993959766678784,100.0,100.0
kr,kr.tv_rsi45,A_strong,5,all,27,112,112,0,9,9,0,103,-0.00816945602964817,-0.0087101116477947,0.2912621359223301,-0.006429297920874485,-0.9209102810369567,0.5533980582524272,-0.007218940056762918,-0.00864469206274425,0.30357142857142855,-0.02614837879360107,0.012411751465864911,-3.319478670611901,-0.0025367546636374007,0.0152677419734332,0.5892857142857143,-0.38367596265091625,-0.00816945602964817,0.005686502336903614,-0.012983928848666199,0.012677531432345013,-0.0174747031339209,100.0,6.464285714285714
